Title,Status,Authors with affiliation and country
Adaptive Temperature Control of Snakehead Fish Albumin Extraction Equipment Using ANFIS,accepted,"Alan Novi Tompunu (Politechnic of Sriwijaya, Indonesia & Universitas of Sriwijaya, Indonesia); Zainuddin Nawawi (Universitas Sriwijaya, Indonesia); Bhakti Yudho Suprapto (University of Sriwijaya, Indonesia); Suci Dwijayanti (Sriwijaya University, Indonesia); Marta Tika Handayani (Politeknik Negeri Sriwijaya, Indonesia)"
Detecting Online Gambling Promotional Comments on Youtube Using Indonesian BERT and Multilingual BERT,accepted,"Gita B Prakoso (Sebelas Maret University, Indonesia); Afrizal Doewes (Universitas Sebelas Maret, Indonesia); Rini Anggrainingsih (Sebelas Maret University, Indonesia)"
"Implementation of Internet of Things (IoT) Based Air Quality Detection (AQD) Monitoring with CO2, Temperature, and Humidity Sensors in Outdoor Environments",accepted,"Aditya Putra Perdana Prasetyo (Universitas Sriwijaya, Indonesia & Universiti Teknologi Malaysia, Malaysia); Mohd. Yazid Idris (Universiti Teknologi Malaysia, Malaysia); Hanif Fakhrurroja (National Research and Innovation Agency, Indonesia & Telkom University, Indonesia); Deris Stiawan (University of Sriwijaya, Indonesia); Sachio Aji (Universitas Sriwijaya, Indonesia)"
Log Regression Model Using Non-Laboratory Data for Prediabetes Detection,accepted,"Muhammad Qurhanul Rizqie (Universitas Sriwijaya, Indonesia); Iche Liberty (University of Sriwijaya & Medical Faculty, Indonesia); Indri Seta Septadina (Universitas Sriwijaya & Medical Faculty, Indonesia); Tiara Anggita Qurilmi (Universitas Sriwijaya, Indonesia)"
Implementation of Hidden Markov Model and Pitch Contour Extraction for Automatic Music Chord Recognition,accepted,"Desilia Selvida, Dewi Sartika Ginting and Dito Athallah Majid (Universitas Sumatera Utara, Indonesia)"
Comparative Analysis of C4.5 and Random Forest Algorithms for Teacher Certification Prediction,accepted,"Elang Prasakti Ghani (Diponegoro University, Indonesia); Nurhawa Nizar Siagian (Pembangunan Panca Budi University, Indonesia)"
Enhancing Machine Learning Classification of Cadmium and Lead Using DWT Adaptive Filter Based Artifact Reduction,accepted,"Alya Kamilah (Institut Teknologi Sepuluh Nopember, Indonesia & Surabaya, Indonesia); Riyanarto Sarno, Kelly Rossa Sungkono, Abdullah Faqih Septiyanto, Rizqy Ahsana Putri and Taufiq Choirul Amri (Institut Teknologi Sepuluh Nopember, Indonesia); Muhammad Suzuri Hitam (Universiti Malaysia Terengganu, Malaysia)"
Towards Personalization: Analyzing Difficulty Levels of Image Sliding Puzzle Through a* Search,accepted,"Anggina Primanita (Universitas Sriwijaya, Indonesia & Japan Advanced Institute of Science and Technology, Japan); Rico Cristianto (Sriwijaya University, Indonesia); Hadipurnawan Satria (Universitas of Sriwijaya, Indonesia)"
Forecasting NVIDIA Stock Prices Using LSTM and Random Forest: A Comparative Study with XAI-Based KernelSHAP Interpretation,accepted,"Zhafira Oktaviani (Sebelas Maret University, Indonesia); Nughthoh Kurdhi (Sebelas Maret University (UNS), Indonesia); Zailan Siri (Malaysia); Elayaraja Aruchunan (University of Malaya, Malaysia)"
Predictive and Interpretative Analysis of Gold Price Using Long Short-Term Memory and Opti-LIME,accepted,"Agrippina Nicola Putra (Sebelas Maret University, Indonesia); Nughthoh Kurdhi (Sebelas Maret University (UNS), Indonesia); Zailan Siri (Malaysia); Elayaraja Aruchunan (University of Malaya, Malaysia)"
"Forecasting Tesla Stock Price Using XGBoost, Random Forest, and CatBoost: A Comparative Study with TreeSHAP Interpretation of the Best Model",accepted,"Iqbal Ghani Assaduddiari (Sebelas Maret University, Indonesia); Nughthoh Kurdhi (Sebelas Maret University (UNS), Indonesia); Zailan Siri (Malaysia); Elayaraja Aruchunan (University of Malaya, Malaysia)"
Enhancing Fetal Echocardiography Segmentation with YOLOv8 Using Ablation Techniques on Deep Learning Backbone Layers,accepted,"Sutarno Sutarno (Universitas Sriwijaya, Indonesia); Bhakti Yudho Suprapto (University of Sriwijaya, Indonesia); Radiyati Partan, Abdurrahman Abdurrahman, Muhammad Naufal Rachmatullah and Rossi Passarella (Universitas Sriwijaya, Indonesia)"
Smart Irrigation System Based on Wireless Sensor Network and Intelligent Control System for Improving Cassava Yield Quality,accepted,"Septriandi Wirayoga and Mochammad Junus (Politeknik Negeri Malang, Indonesia); Azam Muzakhim Imammuddin (State Polytechnic of Malang, Indonesia); Mohammad Abdullah Anshori (Politeknik Negeri Malang, Indonesia)"
Comparing Transformer Models for Indonesian Speech-to-Text: Vanilla and Whisper,accepted,"Ratna Atika (Politeknik Negeri Sriwijaya, Indonesia); Suci Dwijayanti (Sriwijaya University, Indonesia); Bhakti Yudho Suprapto (University of Sriwijaya, Indonesia)"
Synthetic Data Review Using Generative Adversarial Networks and Transformer Models in AQ-10 Autism Spectrum Disorder Dataset,accepted,"Nathanael P Solagratia and Thejas G.S (Tarleton State University, USA)"
Research Supervisor Recommendation System Using a Hybrid Filtering Approach,accepted,"Aisyah Fitri, Desty Rodiah and Yunita Yunita (Sriwijaya University, Indonesia)"
"Agentic AI for Automated Grading: System Design, Baseline Study, and Empirical Evaluation",accepted,"Danny Matthew Saputra (Universitas Sriwijaya, Indonesia); Ruth Helen Simarmata (Sriwijaya University, Indonesia & Universitas Sriwijaya, Indonesia); Muhammad Ali Buchari, Muhammad Azka Faridi and Mgs M Luthfi Ramadhan (Universitas Sriwijaya, Indonesia); Redho A Iqrom (Universitas Sriwjaya, Indonesia)"
Deep Learning Approach for Predicting Cardiac Septal Defects Using Echocardiography,accepted,"Ria Nova (Universitas Sriwijaya, Indonesia & Mohammad Hoesin Hospital, Indonesia)"
Empowering Student Mental Health Through Machine Learning in Blended Learning Environments,accepted,"Nyoman Ayu Gita, Gayatri (Universitas Bina Nusantara, Indonesia); Dian Kusumajati (Bina Nusantara University, Indonesia)"
Trade-off Between Global Accuracy and Fairness in Multi-Label Emotion Classification,accepted,"Yoppy Sazaki (Universitas Sriwijaya, Indonesia); Ahmad Fadhil Yusof, Ab Razak Che Husin and Weng Howe Chan (Universiti Teknologi Malaysia, Malaysia)"
Technical Benefits of ISPO Certification in Blockchain-Based Supply Chain Management: A Systematic Literature Review with Statistical Analysis,accepted,"Aan Khunaifi, Karina Mayasita Handoyo, Fajaryan Wijananto, Tanzi Mubaroq Santoso, Yosi Sahreza, Muhammad Rafi Juliansyah, Ali Reza Syariati, Dewi Suci Rafianti, Andri Puji Prasetiyo and Topan Try Harmanda (National Research and Innovation Agency, Indonesia)"
Utilisation of Wireless Sensor Network System Based on Internet of Things for Automation of Shallot Watering and Fungus Prevention with Energy Independence,accepted,"Septriandi Wirayoga (Politeknik Negeri Malang, Indonesia); Azam Muzakhim Imammuddin (State Polytechnic of Malang, Indonesia); Mohammad Abdullah Anshori and Hadiwiyatno Hadiwiyatno (Politeknik Negeri Malang, Indonesia)"
